word,cosine similarity
times,0.09
l'arlequin,-0.16
episode,-0.31
strike,-0.29
rrain,0.17
woman,0.34
that,-0.33
scythei,0.41
your,-0.15
calght,0.28
years,-0.29
financed,-0.06
bomber,0.35
there,0.25
parents,0.28
petective,-0.34
stop,-0.27
members,-0.02
police,-0.57
records,-0.07
bombing,-0.12
artists,-0.47
waiting,0.01
tower,0.23
thecompanied,0.04
which,-0.15
whose,-0.18
sinclhir,-0.03
perfectly,-0.3
kidnapped,0.08
station,0.05
everyone,0.0
hang,0.45
laureni,-0.15
interrogation,0.23
train,-0.13
around,0.17
apostles,0.39
mention,-0.03
scene,-0.16
shop,0.13
later,-0.23
located,0.02
iopm,0.28
most,-0.36
apart,-0.46
they,-0.21
from,-0.57
public,-0.08
only,-0.09
officially,-0.31
suspects,-0.63
greychapel,0.07
under,0.34
with,-0.31
supposed,-0.17
next,-0.05
responsibility,-0.02
standing,0.22
entrance,0.02
where,-0.17
soon,0.51
precinct,-0.26
hyacinth,-0.24
could,0.09
carmine,-0.16
their,-0.01
built,-0.09
sake,0.16
council,0.16
recognized,0.12
suspected,0.02
tran,0.21
someone,-0.06
richest,-0.01
kieran,-0.2
struck,-0.22
abolt,-0.24
nothing,-0.31
guessed,0.3
phantom,0.28
city,0.11
streets,0.02
charge,-0.21
attack,0.06
people,0.21
list,-0.09
started,0.18
spots,0.37
crmka,-0.2
fancy,0.06
terrorism,-0.03
this,0.07
fear,0.5
before,-0.21
somehow,0.21
during,0.08
shocked,-0.21
chance,0.16
investigating,-0.18
moring,0.14
were,0.38
masaaer,0.21
haired,-0.3
while,0.01
lying,0.51
taken,0.11
show,-0.46
even,0.29
ladell,0.3
ends,-0.05
spotted,0.31
nitroglycerine,0.37
leading,0.23
almost,0.05
16.45,-0.21
early,0.25
late,0.05
straight,0.05
last,0.12
know,0.59
xx17,0.0
tavern,-0.22
gets,0.52
ibrightest,-0.14
allendale,-0.27
basically,0.3
found,0.47
remaining,-0.32
managed,-0.35
dobce,0.26
trista,-0.05
more,-0.17
monsters,0.05
look,-0.3
said,-0.12
verified,-0.3
welcome,-0.28
redcliff,0.19
weeks,0.12
full,-0.38
leave,0.2
alibi,-0.11
also,0.25
ardhalis,-0.05
keeps,-0.01
month,-0.28
really,-0.13
near,0.16
else,-0.03
going,0.26
ones,0.18
clover,0.04
town,0.12
place,-0.17
thank,0.15
officers,-0.21
wounds,0.2
tomorrow,0.06
evening,-0.14
involved,0.2
take,0.02
already,-0.22
night,-0.38
ever,-0.13
flemmings,0.28
known,0.18
goblin,-0.19
many,0.13
november,0.24
went,0.47
survival,0.06
nearby,-0.04
agree,-0.16
decade,0.41
queen,-0.17
senseless,0.05
suspect,-0.11
epicenter,0.14
weird,-0.6
past,0.46
wish,0.09
golden,0.4
photograph,0.08
since,0.56
eafe,0.26
government,-0.27
evidence,0.06
relief,0.03
ollowing,-0.0
never,0.04
march,-0.28
kings,0.53
officer,-0.17
meet,0.16
murder,0.24
oliver,0.05
actually,-0.29
royale,0.28
front,0.21
scratch,0.19
picture,-0.09
house,0.28
will,0.07
hand,0.16
company,0.03
friday,0.2
happened,0.02
chat,-0.35
heard,0.2
long,0.51
make,-0.08
lauren,-0.26
those,0.19
little,0.12
provided,-0.42
orchestrated,0.16
grim,-0.17
poorer,0.01
leader,0.3
ardent,0.51
claimed,0.38
always,-0.03
again,0.16
date,0.18
restalrant,-0.07
anonymous,0.07
when,0.23
band,0.05
should,0.09
crap,-0.02
back,0.7
underground,-0.27
lizbeth,-0.14
district,-0.13
need,-0.02
driver,-0.0
massacre,0.03
circus,-0.2
organized,0.22
horrible,0.13
propose,0.35
names,-0.05
some,-0.27
13th,-0.48
nobilty,0.11
sandman,-0.03
arrest,-0.16
events,0.28
homeless,-0.05
another,0.4
following,-0.06
lady,0.29
like,-0.01
detectives,-0.24
just,0.03
second,0.06
death,0.52
favorite,0.4
majesty,-0.48
responsible,0.05
edward,0.18
member,-0.09
left,0.34
what,0.11
explosion,0.14
statjon,0.11
tragedy,0.37
have,0.31
happen,0.27
raid,-0.54
involvement,0.01
aevasty,0.03
keep,-0.15
home,0.1
learned,-0.34
becalse,-0.16
expksion,0.55
held,-0.23
down,-0.01
terrible,-0.12
here,-0.29
after,-0.28
crossed,-0.34
camelia,0.2
harvey,0.06
them,-0.01
shut,-0.13
lune,-0.22
particularly,0.63
messenger,-0.08
first,0.51
admitted,0.02
overdue,-0.08
good,0.2
rich,0.32
over,0.14
nobody,-0.08
guarantees,0.01
apparently,-0.61
delaney,0.26
name,0.08
part,0.21
enough,0.09
about,-0.65
william,-0.18
robin,-0.0
running,-0.44
getaway,-0.21
still,0.23
been,0.42
victims,-0.03
black,0.06
victim,0.46
things,-0.36
thing,0.49
rhyhe,0.14
dangerous,-0.15
raltway,0.24
help,0.06
search,0.26
meeting,0.5
wanted,0.05
than,0.54
right,0.07
would,0.04
orphans,0.09
hundreds,0.16
potential,-0.44
swore,-0.36
follow,0.5
thirteen,0.55
told,-0.2
revolution,0.28
routine,-0.07
come,0.02
afraid,0.54
sinclair,-0.17
foot,0.31
hermann,0.25
anslow,-0.59
chief,0.08
year,-0.28
fifteen,0.14
though,0.48
scythe,-0.32
february,-0.01
sorry,-0.06
days,0.05
dikan,0.07
