id,words
0,"['sabella', 'levan', 'million', 'in', 'vermillion', 'ph', '@', 'isabellalevan', '@', 'amillioninvermillion', '@', 'isabellalevan', 'music', 'production', ':', 'million', 'in', 'vermillion', 'amillioninvermillion', 'album', ':', 'https', ':', '/', '/isabellalevanmusicbandcamp.com']"
1,"['Fp', 'tip', 'Staff', 'maxu', 'mad', '72ip', 'Name', ':', 'abel', 'sandman', '16th', ',', 'xxiol', 'date', 'of', 'employment', ':', 'april', 'post', ':', 'driver', 'lyl', 'd']"
2,"['sinclair', 'rachel', 'sinclair', 'abel', 'sandman', 'peport', 'Captain', 'hermann', '!']"
3,"['physical', 'description', 'fits', 'but', 'chel', 'abel', 'abel', 'sandman', '26th', ',', 'xx17', 'date', 'of', 'death', ':', '`', 'estimated', 'time', ':', '11308', 'cause', 'of', 'death', ':', 'car', 'rec=', 'to', 'allow', 'face', 'is', 'too', 'from', 'the', 'fourth', 'finger', 'up', 'sinclairi', 'sinclair', 'ander', 'sandman', 'report', 'november', 'accident', ""'"", 'facial', 'charred', 'phalanx', ':', 'description', ':', 'proximal', 'Sinclair', 'rachel', 'sinclair', 'alexander', 'report', 'sinclair', 'alexander', 'xx', 'Of']"
4,"['only', 'thing', 'i', ""'ve"", 'found', 'on', 'them', 'is', 'an', 'article', 'reflting', 'the', 'snapdragon', ""'s"", ""'"", 'defamatory', 'statements', '``', 'still', 'act', ';', 'in', 'the', 'the', 'he', 'of', 'lower', '=', 'on', 'the', 'for', 'her', 'of', 'romy', 'the', 'om', 'for', 'gross', ';', 'in', 'ljail', 'jaw', 'threw', 'labelling', 'the', 'group', 'anarchists', '``', 'and', 'claiming', 'everything', 'in', 'the', 'pamphlets', 'is', 'baseless', 'lies', '.', 'lented']"
5,"['also', 'mentioned', 'he', 'knew', 'my', 'parents', ""'"", 'driver', ',', 'abel', 'sandman', '.', 'they']"
6,['abel']
7,"[""'m"", 'going', 'to', 'untie', 'you', 'now', ',', 'do', ""n't"", 'scream', ':', 'Abel', 'sandman', '.', 'why']"
8,"['the', 'real', 'reason', 'i', 'lost', 'it', 'was', 'because', 'Sake', 'sake', 'was', 'in', 'my', 'parents', ""'"", 'car', ',', 'with', 'my', 'parents', ""'"", 'driver', '.', 'Abel']"
9,"['annabelle', 'she', 'was', 'the', 'most', 'exceptional', 'woman', 'i', 'have', 'ever', 'known', '.', ""'""]"
10,"['leigh', 'x98', 'annabelle', '=', 'march', 'I', ""'ve"", 'spent', 'so', 'much', 'time', 'wondering', 'why', 'them', '?']"
11,"['annabelle', '.', 'she']"
12,"[""'"", 'leigh', 'annabelle', '=', 'march', 'She']"
13,"['parents', 'left', 'with', 'sandman', 'in', 'the', 'morning', 'aewa', 'november', '26th', ',', 'xxi', 'terrible', 'car', 'accident', 'carrues', 'the', 'sinclairs', 'and', 'their', 'dri', '!']"
14,"['did', ""n't"", 'think', 'someone', 'wolld', 'ever', 'sing', 'it', 'to', 'me', 'again', ':', '@', 'lck', 'L', 'tiv', 'e', 'I', ""'ve"", 'missed', 'it', 'Sandman', ':', 'sake', ':', 'And', 'robin', 'delaney', 'reperye', 'dy', 'colld', 'this', 'have', 'any', 'link', 'to', 'the', 'pamphlets', '?']"
15,"[""'s"", 'like', 'he', 'never', 'existed', 'and', 'then', 'how', 'did', 'sandman', 'manage', 'to', 'fake', 'his', 'death', '?']"
16,"['you', 'think', 'it', 'was', 'sandman', ""'s"", 'fallt', '?']"
17,"['maybe', 'Sake', 'was', 'there', 'in', 'the', 'very', 'beginning', 'maybe', 'he', ""'d"", 'know', 'something', 'And', 'sandman', 'too', ',', 'since', 'he', ""'s"", 'apparently', 'still', 'alive', '0', 'suk', ""'"", 'clock', 'news', 'late', 'fagf', 'dety', 'ictus', 'Mailp', 'oooh', 'what', 'the', 'heck', '!']"
18,"['were', 'both', 'part', 'of', 'the', 'phantom', 'scythe', ':', 'sandman', 'was', 'his', 'getaway', 'driver', 'the', 'day', 'of', 'the', 'explosion', '.', 'everyone']"
19,"['believed', 'sandman', 'died', 'in', 'the', 'car', 'accident', 'with', 'my', 'parents', 'But', 'sake', 'was', 'saying', 'otherwise', '.', 'What']"
20,"['sandman', 'november', '26th', ',', 'xxi7', 'date', 'of', 'time', ':', '130']"
21,"['you', ""'d"", 'better', 'not', 'forget', 'about', 'anslow', ""'s"", 'picture', '.', 'Sandman']"
22,"['only', 'to', 'be', 'killed', 'for', 'it', 'hundreds', 'of', 'people', 'were', 'killed', 'for', 'it', 'i', 'almost', 'was', 'too', 'Mhk', 'and', 'dylan', 'Sandman', 'za', 'It']"
23,"['was', 'it', 'was', 'a', 'lie', 'No', 'sandman', 'knew', 'him', 'His', 'body', 'missing', '.', 'There']"
24,"['more', 'week', 'to', 'go', 'before', 'sandman', 'reaches', 'out', 'to', 'me', '.', 'Of']"
25,"['sandman', '.', 'Seeing']"
26,"['was', 'involved', 'in', 'the', 'allendale', 'bombing', 'and', 'sandman', 'was', 'their', 'getaway', 'driver', '.', 'i']"
27,"['are', 'a', 'strange', 'man', ',', 'sandman', '.', 'you']"
28,"['remember', 'when', 'i', 'told', 'you', 'my', 'parents', 'died', 'in', 'a', 'car', 'accident', 'with', 'their', 'driver', ',', 'sandman', '?']"
29,"['truth', 'about', 'sandmans', 'past', 'involvement', 'and', 'his', 'present', 'actions', '.', 'And']"
30,"['who', 'my', 'parents', 'really', 'were', 'Chckle', 'So', 'according', 'to', 'sandman', 'and', 'what', 'you', 'overheard', 'from', 'the', 'king', ""'s"", 'right', 'hand', '.', 'it']"
31,"['from', 'sandman', ',', 'nor', 'my', 'parents', '.', 'Or']"
32,"['he', 'decided', 'to', 'kill', 'off', 'sandman', 'said', 'he', 'thought', 'they', 'wanted', 't', 'leave', '.', 'It']"
33,"['is', 'another', 'thing', 'Sandman', 'found', 'the', 'name', 'of', 'the', 'black', 'haired', 'woman', 'from', 'the', 'carmine', 'camelia', '.', 'She']"
34,"['october', 'november', 'december', 'xx17', 'xx17', 'xx17', 'xx17', 'january', 'xx', 'Alexander']"
35,"['those', 'stepping', 'out', 'of', 'the', 'line', ',', 'or', 'traitors', ',', 'eradicated', 'no', '.', 'rachel', 'and', 'alexander', ',', 'your', 'parents', ',', 'they', 'knew', 'the', 'leader', '.', 'You']"
36,"['hyacinth', 'Episode', 'eint', 'knl', 'lshal', 'yqhr', 'parents', 'swpl', 'Sinclair', 'accicent', 'ate', 'adal', 'alexans', 'alexander', '26', 't', 'novembet', '1130', 'ate', '@', 't', 'death', ';', 'of', 'de', 'car', 'sigeatrdbrge', '87caen', 'pusel', 'etipitio', 'raice', 'They', 'knew', 'whq', 'the', 'leader', 'was', 'n', 'wp', '}', '4', ""'"", 'la', '1', ']', 'iragedy', '1', 'thans', 'nore', '``', '76', '&', '{', 'da', 'xaksaa', 'november', '26th', ',', '16y', 'november', 'z6th', ',', 'xxt', 'car', 'car', 'sinclairs', 'and', 'sinclairs', 'and', 'yqh', 'know', 'what', 'that', 'means', ',', 'right', '?']"
37,"['loved', 'rachel', 'and', 'alexander', ',', 'but', 'it', 'was', 'them', 'or', '.', 'well']"
38,"['Whether', 'they', 'wanted', 'to', 'quit', 'or', 'not', 'They', 'were', 'guilty', 'Rachel', 'adwell', 'alexander', 'sinclair', 'james', 'sinclair', 'x982', 'xxiz', 'xx980', 'xxiz', 'And']"
39,"[""'s"", 'never', 'let', 'anything', 'slip', 'though', 'X', 'as', 'reminiscing', 'about', 'rachel', 'and', 'alexander', '?']"
40,"[""'"", 'N', ""'"", 'Splashl', 'woosh=', 'Officer', 'sinclair', '?']"
41,"['blue', '0e', 'Thanks', '.', 'sinclair']"
42,"['here', '.', 'Sinclair']"
43,"['Bomb', 'disposal', 'unit', 'reporting', 'the', 'threat', 'has', 'been', 'successfully', 'neutralized', 'Officer', 'sinclair', '!']"
44,['sinclair']
45,"['tristan', 'sinclair', 'head', 'of', 'ardhalis', 'police', 'department', 'Uncle', '?']"
46,"['fantastic', ',', 'welcome', 'to', 'the', 'teami', 'nice', 'to', 'meet', 'you', ',', 'officer', 'My', 'name', 'is', 'kieran', 'white', 'Lauren', 'sinclair', '.', 'it']"
47,"['sinclair', 'is', 'right', '.', 'i']"
48,"['ca', ""n't"", 'stop', 'now', 'but', 'the', 'worst', 'part', 'of', 'it', 'all', 'good', 'morning', ',', 'officer', 'sinclair', '!']"
49,"['officer', 'sinclair', 'here', 'an', 'emergency', '?']"
50,"[',', 'you', 'said', 'you', ""'re"", 'a', 'sinclair', 'so']"
51,"['since', 'tristan', 'sinclair', 'is', 'the', 'chief', 'of', 'police', '.', 'you']"
52,"['sinclair', '!']"
53,"['{', '@', 'al', 'Sht', 'Officer', 'sinclair', 'and', 'i', 'will', 'pursue', '!']"
54,"['will', 'be', 'provided', 'for', 'you', 'in', 'the', 'interrogation', 'room', ':', 'William', 'hawkes', ',', 'lauren', 'sinclair', ',', 'impressive', 'team', 'work', '.', 'You']"
55,"['lauren', 'sinclair', 'patrol', 'unit', 'nthprecinct', 'ardhalis', 'police', 'department', 'Hey']"
56,"['officer', 'sinclair', '!']"
57,"[""'ve"", 'known', 'you', 'for', 'a', 'long', 'time', ',', 'kieran', ':', 'and', 'i', 'can', 'assure', 'you', 'that', '``', 'naivety', '``', 'really', 'does', ""n't"", 'look', 'good', 'on', 'you', 'Crack', 'Detective', 'sinclair', 'is', 'back', 'in', 'the', 'field', '.', 'Tuk']"
